Title,Year,Duration,Age Rating,IMDb Rating
the shawshank redemption,1994,2h 22m,R,9.3
the godfather,1972,2h 55m,R,9.2
the dark knight,2008,2h 32m,PG-13,9.0
the godfather part ii,1974,3h 22m,R,9.0
angry men,1957,1h 36m,Approved,9.0
the lord of the rings the return of the king,2003,3h 21m,PG-13,9.0
schindlers list,1993,3h 15m,R,9.0
pulp fiction,1994,2h 34m,R,8.9
the lord of the rings the fellowship of the ring,2001,2h 58m,PG-13,8.9
the good the bad and the ugly,1966,2h 58m,R,8.8
forrest gump,1994,2h 22m,PG-13,8.8
the lord of the rings the two towers,2002,2h 59m,PG-13,8.8
fight club,1999,2h 19m,R,8.8
inception,2010,2h 28m,PG-13,8.8
star wars episode v the empire strikes back,1980,2h 4m,PG,8.7
the matrix,1999,2h 16m,R,8.7
goodfellas,1990,2h 25m,R,8.7
one flew over the cuckoos nest,1975,2h 13m,R,8.7
interstellar,2014,2h 49m,PG-13,8.7
seen,1995,2h 7m,R,8.6
its a wonderful life,1946,2h 10m,PG,8.6
seven samurai,1954,3h 27m,Not Rated,8.6
the silence of the lambs,1991,1h 58m,R,8.6
saving private ryan,1998,2h 49m,R,8.6
city of god,2002,2h 10m,R,8.6
